index,split
0,train
1,valid
2,train
3,train
4,train
5,valid
6,train
7,valid
8,valid
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,test
22,test
23,test
24,train
25,train
26,train
27,train
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,test
39,train
40,train
41,train
42,valid
43,valid
44,test
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,valid
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,valid
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,test
73,valid
74,train
75,test
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,valid
86,train
87,valid
88,train
89,train
90,train
91,train
92,test
93,train
94,train
95,test
96,train
97,train
98,train
99,train
100,train
101,train
102,test
103,train
104,train
105,train
106,test
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,test
115,valid
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,valid
125,train
126,test
127,train
128,train
129,train
130,train
131,valid
132,train
133,train
134,train
135,train
136,valid
137,train
138,train
139,test
140,train
141,test
142,train
143,train
144,valid
145,train
146,valid
147,valid
148,train
149,train
150,valid
151,valid
152,test
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,valid
162,valid
163,valid
164,train
165,test
166,train
167,train
168,train
169,train
170,train
171,valid
172,train
173,train
174,train
175,train
176,train
177,valid
178,train
179,train
180,train
181,train
182,train
183,train
184,valid
185,test
186,test
187,test
188,train
189,test
190,train
191,test
192,valid
193,test
194,train
195,train
196,train
197,train
198,valid
199,train
200,train
201,valid
202,valid
203,test
204,test
205,valid
206,valid
207,train
208,train
209,train
210,train
211,test
212,train
213,train
214,train
215,valid
216,train
217,test
218,test
219,valid
220,train
221,train
222,train
223,valid
224,train
225,train
226,valid
227,test
228,train
229,valid
230,train
231,valid
232,train
233,valid
234,train
235,train
236,valid
237,train
238,test
239,train
240,train
241,test
242,train
243,test
244,train
245,test
246,train
247,test
248,test
249,train
250,valid
251,test
252,valid
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,valid
261,test
262,test
263,train
264,test
265,test
266,valid
267,test
268,train
269,train
270,train
271,train
272,train
273,train
274,valid
275,train
276,train
277,valid
278,train
279,test
280,test
281,train
282,train
283,valid
284,train
285,train
286,valid
287,train
288,train
289,test
290,train
291,train
292,valid
293,train
294,train
295,test
296,train
297,valid
298,test
299,train
300,train
301,train
302,valid
303,train
304,valid
305,train
306,train
307,test
308,train
309,train
310,train
311,valid
312,test
313,train
314,test
315,train
316,test
317,valid
318,valid
319,train
320,test
321,test
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,train
336,test
337,valid
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,test
350,train
351,train
352,train
353,train
354,train
355,valid
356,test
357,train
358,train
359,train
360,valid
361,train
362,test
363,train
364,train
365,test
366,valid
367,train
368,test
369,test
370,train
371,train
372,test
373,valid
374,train
375,test
376,test
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,valid
385,valid
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,valid
402,train
403,test
404,valid
405,train
406,train
407,test
408,train
409,test
410,test
411,train
412,train
413,train
414,test
415,test
416,valid
417,train
418,valid
419,train
420,train
421,train
422,train
423,valid
424,train
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,valid
439,valid
440,train
441,train
442,train
443,test
444,train
445,valid
446,test
447,test
448,train
449,train
450,train
451,train
452,train
453,test
454,train
455,train
456,train
457,train
458,valid
459,test
460,train
461,train
462,train
463,train
464,train
465,train
466,train
467,test
468,train
469,train
470,train
471,valid
472,test
473,train
474,test
